被评论的商品ID,被评论的商品类别,评论账号,评论人的URL,评论内容,评论地点,评论时间,评论URL,评论来源,标签,采集日期,评价
NULL,NULL,s***3,NULL,非常不错的一次体验，环境挺安静的，小院里面花花草草特别好。,NULL,2015-04-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=10601304&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,李***2,NULL,还不错，环境不错，房间很大，设施一般，餐厅的饭做的不错。,NULL,2015-04-24,http://t.dianping.com/ajax/detailDealRate?dealGroupId=10601304&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***1,NULL,挺好，环境也好，就是太偏了，个人感觉石院更好,NULL,2015-04-10,http://t.dianping.com/ajax/detailDealRate?dealGroupId=10601304&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,W***n,NULL,环境还是很小资滴，好惬意~_~硬件条件不错，私密性挺好，卫生也很干净~去这种地儿泡汤，自备干粮是最好不过的了，带上点红酒和蜡烛，没治啦,NULL,2015-03-23,http://t.dianping.com/ajax/detailDealRate?dealGroupId=10601304&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,大***柿,NULL,挺好的温泉水，就是地址不好找，导航也不准确害得我们溜了几圈,NULL,2015-03-22,http://t.dianping.com/ajax/detailDealRate?dealGroupId=10601304&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,W***8,NULL,不错，小院子很惬意。。。。。。。,NULL,2015-03-06,http://t.dianping.com/ajax/detailDealRate?dealGroupId=10601304&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,还***客,NULL,一如即往不错连续几年只去这一家私汤,NULL,2015-02-12,http://t.dianping.com/ajax/detailDealRate?dealGroupId=10601304&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,小***辣,NULL,好是好的啊 室内温度很舒服 就是不知道打扫不打扫池子 最不好的就是一直再涨价！再涨的话就不值了性价比不高,NULL,2015-04-28,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,q***2,NULL,很舒服！很满意！房间真大！床真大！池子两个人泡刚刚好！池子干净！水也干净！餐厅不错。整体服务都很好！就是周边可玩的少，就是纯泡温泉吧！私密性不错！周末人很多！,NULL,2015-04-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,楠***宗,NULL,因为是网上定的 所以没有优惠 以后还是先给店里打电话咨询一下吧,NULL,2015-04-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,皮***巍,NULL,一般般吧，大众点评上购买的贵了。后来才知道，而且没有早餐。,NULL,2015-04-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,c***0,NULL,私密性强，值得再去，还算卫生干净。,NULL,2015-04-21,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,Z***9,NULL,没去，有机会去看着不错，春天泡泡,NULL,2015-03-29,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,u***a,NULL,感觉还不错，就是提前预定的当天有大风，还真冷,NULL,2015-03-23,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,牛***思,NULL,总体还不错，床很大，因为是周四去的，所以很安静,NULL,2015-03-20,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,8***0,NULL,还是很不错的 要是有大院的团购更好了,NULL,2015-03-19,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,雾***流,NULL,非常惬意的一次温泉体验！地方不太好找……,NULL,2015-03-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,m***5,NULL,房间比较陈旧，性价比低。温泉还不错。,NULL,2015-03-09,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,B***7,NULL,地方很好找，一进门是有股臭味，应该是下水道反味儿。下午泡了会，晚上八点多泡了会，感觉特别好，晚上院子里有灯。私密性还好，小院泡温泉能听到邻居泡温泉的时候说话。,NULL,2015-02-27,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,v***i,NULL,环境不错 不过早上起来想泡个晨汤就没有温泉热水 这点需要改进,NULL,2015-02-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,小***1,NULL,温泉水还可以，无限泡，只是屋内特别臭，打扫的也不干净,NULL,2015-02-13,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,z***1,NULL,总体还可以 住的三期温泉花园 床很大 仔细看是两张单人床拼的 不过也还可以 温泉池子略小 水温合适可调 有wifi不错,NULL,2015-01-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,狼***1,NULL,非常不错，值得再去。餐饮的羊排也非常新鲜。,NULL,2015-01-18,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,梦***3,NULL,之前已经点评过了，三期非常差，前院巨小，如果知道院子这么小我肯定不订！我就是为烤肉过去的，院子这么小怎么烤？,NULL,2015-01-17,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,1***s,NULL,每年都去，每次都不会失望，三期的确比一期二期好,NULL,2015-01-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,淑***范,NULL,下次不去了，服务，设施都跟不上,NULL,2015-01-05,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,甜***8,NULL,人间仙境，此生从未有过如此的享受，有空一定会来,NULL,2015-01-02,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,伤***用,NULL,环境好，适合朋友小聚，很私密的,NULL,2014-12-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,海***c,NULL,总体是不错的，三期的标间没有冰箱，比较遗憾，池子略小，情侣够用了。其他都很好，有无线。算的上干净，地暖很好。,NULL,2014-12-23,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,w***6,NULL,环境还不错！就是到了才发现团购和门市价格居然一样！,NULL,2014-12-20,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,c***0,NULL,地方不太好找，卫生一般，去了还要自己现清理温泉池子，飘上来好多脏东西。床头柜子里还有人家吃剩下的药瓶和。屋子里还算暖和，吃饭有点麻烦，房间里没有餐单。要出去吃。别的还好，如果是多去点人弄个两居室还有点乐趣，人少很没意思,NULL,2014-12-18,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,m***2,NULL,总体不错的，就是餐厅有点小贵，值得再去。,NULL,2014-12-17,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***3,NULL,三期环境更私密更安静。喜欢好大的床2.4米呵呵我们四位美女一起睡都够用。,NULL,2014-12-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***4,NULL,好多年以前去过独门独院很好 这次去变的高大上了 就是觉得标间里的装修很老很糙,NULL,2014-12-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
