商品ID,品牌,商品名称,商品类别,商品来源,商品URL,商品单价,商品销量,商品月销量,商品评论量,商品参数,卖家名称,卖家所在地,店铺类型,采集日期,采集城市,类目树
8269383,益泉私汤温泉,北京益泉温泉会所1晚,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/8269383,480,173,NULL,35,"有效期 2014-10-22至2015-09-17 预约信息 预约商户名：要出发旅行网 预约电话：4001181166 请您提前1天预约 规则提醒 入住时间：12:00以后，退房时间：12:00以前 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询",益泉私汤温泉, ,NULL,2015-05-06 11:28:45,NULL,NULL
11540373,古北水镇大酒店,古北水镇,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11540373,1,15,NULL,,"有效期 2015-04-10至2015-05-31 预约信息 预约商户名：要出发 预约电话：400-118-1166 请您提前2天预约 规则提醒 入住时间：14:00以后，退房时间：12:00以前 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询 在您选择“支付宝”支付方式时,部分银行卡可能有支付限额,若遇到此类情况,您可先充值到点评团账户即能轻松支付",古北水镇大酒店, ,NULL,2015-05-06 11:28:45,NULL,NULL
11807937,古北水镇,北京古北水镇1晚,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11807937,888,1,NULL,,"有效期 2015-04-30至2015-05-31 预约信息 预约电话：400-118-1166 请您提前3天预约 规则提醒 入住时间：14:00以后，退房时间：12:00以前 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询 在您选择“支付宝”支付方式时,部分银行卡可能有支付限额,若遇到此类情况,您可先充值到点评团账户即能轻松支付",古北水镇, ,NULL,2015-05-06 11:28:45,NULL,NULL
10601304,益泉私汤温泉,益泉休闲会所,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/10601304,550,37,NULL,7,"有效期 2015-02-10至2015-08-31 每周五、周六不可用 2015-02-18至2015-02-24、2015-04-03至2015-04-05、2015-04-30至2015-05-03、2015-06-19至2015-06-21不可用 预约信息 请您提前1天预约 规则提醒 入住时间：13:00以后，退房时间：12:00以前 每张团购券最多2人使用 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询 在您选择“支付宝”支付方式时,部分银行卡可能有支付限额,若遇到此类情况,您可先充值到点评团账户即能轻松支付",益泉私汤温泉, ,NULL,2015-05-06 11:28:45,NULL,NULL
11712074,容盛生态农庄,亲子一日游,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11712074,199,1,NULL,,"有效期 2015-04-24至2015-09-30 预约信息 请您提前1天预约 规则提醒 入住时间：12:00以后，退房时间：次日12:00以前 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询",容盛生态农庄, ,NULL,2015-05-06 11:28:45,NULL,NULL
11463990,山水云间度假酒店,山水云间休闲度假山庄,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11463990,668,2,NULL,1,"有效期 2015-04-03至2015-06-30 预约信息 预约电话：010-61627833 请您提前1天预约 规则提醒 入住时间：12:00以后，退房时间：12:00以前 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询 在您选择“支付宝”支付方式时,部分银行卡可能有支付限额,若遇到此类情况,您可先充值到点评团账户即能轻松支付",山水云间度假酒店, ,NULL,2015-05-06 11:28:45,NULL,NULL
11463391,山水云间山庄,山水云间休闲度假山庄,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11463391,418,4,NULL,,"有效期 2015-04-03至2015-06-30 预约信息 请您提前1天预约 规则提醒 入住时间：12:00以后，退房时间：12:00以前 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询",山水云间山庄, ,NULL,2015-05-06 11:28:45,NULL,NULL
11601748,北京青年旅行社,北京青年旅行社,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11601748,28.8,1,NULL,,"有效期 2015-04-16至2015-06-30 预约信息 请您提前1天预约 规则提醒 每张团购券最多1人使用 每日发团 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询",北京青年旅行社, ,NULL,2015-05-06 11:28:45,NULL,NULL
6234097,雨彤农家院,雨彤农家院,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/6234097,158,3,NULL,,有效期 2014-06-24至2015-08-28 预约信息 请您提前3天预约 规则提醒 不再与店内其他优惠同享 商家服务 提供免费停车位 温馨提示 如需团购券发票，请在消费时向验券商户索要,雨彤农家院, ,NULL,2015-05-06 11:28:45,NULL,NULL
6242954,金圣农家院,金圣农家院,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/6242954,230,9,NULL,,使用时间 2014-08-06至2015-07-19 除外日期：2014-10-01至2014-10-07 预约信息 至少提前1天预约 电话：15075230696 使用规则 入住时间：12:00后入住，退房时间：次日12:00前退房 团购券最多1人使用 入住请持本人有效身份证（一人一证），须缴纳押金，具体情况详询商户 不可携带宠物入内 提供免费wifi 免费提供10个停车位 不可与其他优惠同享 如需团购券发票，请在消费时向商户提出,金圣农家院, ,NULL,2015-05-06 11:28:45,NULL,NULL
11463799,山水云间山庄,山水云间休闲度假山庄,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11463799,538,1,NULL,,"有效期 2015-04-03至2015-06-30 预约信息 请您提前1天预约 规则提醒 入住时间：12:00以后，退房时间：12:00以前 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询 在您选择“支付宝”支付方式时,部分银行卡可能有支付限额,若遇到此类情况,您可先充值到点评团账户即能轻松支付",山水云间山庄, ,NULL,2015-05-06 11:28:45,NULL,NULL
11463852,山水云间度假酒店,山水云间休闲度假山庄,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/11463852,518,1,NULL,,"有效期 2015-04-03至2015-06-30 每周五、周六不可用 预约信息 预约电话：010-61627833 请您提前1天预约 规则提醒 入住时间：12:00以后，退房时间：12:00以前 需缴纳押金，每间500元押金 不再与其他优惠同享 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询 在您选择“支付宝”支付方式时,部分银行卡可能有支付限额,若遇到此类情况,您可先充值到点评团账户即能轻松支付",山水云间度假酒店, ,NULL,2015-05-06 11:28:45,NULL,NULL
6454684,天安门广场,北京精品两日游,团购餐饮,大众点评网,http://t.dianping.com/deal/travel/6454684,88,173,NULL,98,"有效期 2014-08-19至2016-10-31 预约信息 预约电话：010—56022608 请您提前1天预约 规则提醒 每张团购券最多1人使用 退改说明 团购券一经验证即代表消费，不可申请""随时退""和""过期自动退""，请您合理安排验证时间 温馨提示 如需团购券发票，请在消费时向验券商户咨询",天安门广场, ,NULL,2015-05-06 11:28:45,NULL,NULL
